word	count	note
par	20	short-token
4108	20	numeric-out-of-range
29108	20	numeric-out-of-range
fan	19	short-token
174	19	numeric-out-of-range
dark-colored	19	possible-hyphenated-artefact
288	19	numeric-out-of-range
181	19	numeric-out-of-range
pop	19	short-token
326	19	numeric-out-of-range
269	19	numeric-out-of-range
169	19	numeric-out-of-range
tax	19	short-token
fe	19	short-token
195	19	numeric-out-of-range
27th	19	alphanumeric-oddity
sub	19	short-token
114th	19	alphanumeric-oddity
274	19	numeric-out-of-range
605	19	numeric-out-of-range
8th	19	alphanumeric-oddity
517	19	numeric-out-of-range
sky	19	short-token
sat	19	short-token
420	19	numeric-out-of-range
mid	19	short-token
hc	18	short-token
rms	18	short-token
dr	18	short-token
10th	18	alphanumeric-oddity
fox	18	short-token
740	18	numeric-out-of-range
412	18	numeric-out-of-range
dry	18	short-token
421	18	numeric-out-of-range
806	18	numeric-out-of-range
fax	18	short-token
404	18	numeric-out-of-range
21st	18	alphanumeric-oddity
297	18	numeric-out-of-range
802	18	numeric-out-of-range
2900	18	numeric-out-of-range
4300	18	numeric-out-of-range
ex-boyfriend	18	possible-hyphenated-artefact
522	18	numeric-out-of-range
odd	18	short-token
zoo	18	short-token
29117	18	numeric-out-of-range
2510	18	numeric-out-of-range
04108	18	numeric-out-of-range
285	17	numeric-out-of-range
176	17	numeric-out-of-range
192	17	numeric-out-of-range
dot	17	short-token
253	17	numeric-out-of-range
val	17	short-token
pat	17	short-token
joy	17	short-token
fc	17	short-token
1b	17	alphanumeric-oddity
9th	17	alphanumeric-oddity
622	17	numeric-out-of-range
271	17	numeric-out-of-range
14th	17	alphanumeric-oddity
298	17	numeric-out-of-range
pv	17	short-token
ron	16	short-token
10-16cs	16	alphanumeric-oddity
men	16	short-token
840	16	numeric-out-of-range
usa	16	short-token
lab	16	short-token
252	16	numeric-out-of-range
obg	16	short-token
711	16	numeric-out-of-range
920	16	numeric-out-of-range
dui	16	short-token
ag	16	short-token
730	16	numeric-out-of-range
295	16	numeric-out-of-range
403	16	numeric-out-of-range
189	16	numeric-out-of-range
416	16	numeric-out-of-range
365	16	numeric-out-of-range
316	16	numeric-out-of-range
291	16	numeric-out-of-range
141	16	numeric-out-of-range
335	16	numeric-out-of-range
atm	16	short-token
409	16	numeric-out-of-range
179	16	numeric-out-of-range
906	16	numeric-out-of-range
20107	16	numeric-out-of-range
1000000	16	numeric-out-of-range
leo	15	short-token
930	15	numeric-out-of-range
134	15	numeric-out-of-range
168	15	numeric-out-of-range
808	15	numeric-out-of-range
322	15	numeric-out-of-range
mic	15	short-token
pub	15	short-token
246	15	numeric-out-of-range
610	15	numeric-out-of-range
net	15	short-token
dca	15	short-token
501	15	numeric-out-of-range
win	15	short-token
531	15	numeric-out-of-range
191	15	numeric-out-of-range
apr	15	short-token
443	15	numeric-out-of-range
pm	15	short-token
186	15	numeric-out-of-range
628	15	numeric-out-of-range
431	15	numeric-out-of-range
508	15	numeric-out-of-range
140th	15	alphanumeric-oddity
re	15	short-token
107108	15	numeric-out-of-range
279	14	numeric-out-of-range
727	14	numeric-out-of-range
360	14	numeric-out-of-range
rv	14	short-token
cpr	14	short-token
bob	14	short-token
430	14	numeric-out-of-range
619	14	numeric-out-of-range
gl	14	short-token
po	14	short-token
275	14	numeric-out-of-range
330	14	numeric-out-of-range
pan	14	short-token
917	14	numeric-out-of-range
744	14	numeric-out-of-range
826	14	numeric-out-of-range
z	14	short-token
256	14	numeric-out-of-range
cup	14	short-token
gla	14	short-token
hip	14	short-token
328	14	numeric-out-of-range
346	14	numeric-out-of-range
977	14	numeric-out-of-range
157	14	numeric-out-of-range
706	14	numeric-out-of-range
8107	14	numeric-out-of-range
2511	14	numeric-out-of-range
7108	14	numeric-out-of-range
11107	14	numeric-out-of-range
440	13	numeric-out-of-range
650	13	numeric-out-of-range
713	13	numeric-out-of-range
289	13	numeric-out-of-range
ev	13	short-token
525	13	numeric-out-of-range
296	13	numeric-out-of-range
276	13	numeric-out-of-range
509	13	numeric-out-of-range
139	13	numeric-out-of-range
re-secured	13	possible-hyphenated-artefact
iv	13	short-token
530	13	numeric-out-of-range
651	13	numeric-out-of-range
229th	13	alphanumeric-oddity
413	13	numeric-out-of-range
ac	13	short-token
wow	13	short-token
178	13	numeric-out-of-range
2b	13	alphanumeric-oddity
el	13	short-token
257	13	numeric-out-of-range
rav	13	short-token
607	13	numeric-out-of-range
238	13	numeric-out-of-range
809	13	numeric-out-of-range
613	13	numeric-out-of-range
340	13	numeric-out-of-range
ear	13	short-token
407	13	numeric-out-of-range
2910	13	numeric-out-of-range
418	13	numeric-out-of-range
722	13	numeric-out-of-range
19107	13	numeric-out-of-range
b260294	13	alphanumeric-oddity
b260679	13	alphanumeric-oddity
obd	12	short-token
con	12	short-token
act	12	short-token
5107	12	numeric-out-of-range
dov	12	short-token
ids	12	short-token
mel	12	short-token
527	12	numeric-out-of-range
624	12	numeric-out-of-range
