word	count
10-2	109
118	109
charge	109
states	109
elbur	109
control	108
garfield	108
carbon	108
within	108
cat	108
i'd	108
attached	108
serial	108
spring	108
atkins	108
neighbors	108
bunch	108
reserve	108
primary	107
mean	107
56	107
grove	107
looked	106
welcome	106
utl	106
warrants	106
member	106
anthony	106
roadway	106
l	106
orchard	106
update	106
towed	106
trailer	105
richland	105
48	105
11839	105
straight	105
hazard	105
company's	105
57	104
marine	104
adams	104
pursuit	104
system	104
alpha	104
consumer	104
nice	103
assault	103
vehicle's	103
tendencies	103
library	103
arrived	103
69	103
2023	103
53	102
threatening	102
com	102
attempt	102
berkshire	102
11820	102
125	102
goes	102
broken	102
remain	102
aid	102
she'll	101
throwing	101
without	101
mazda	101
bed	101
play	101
intersection	101
won't	101
bond	101
video	100
signs	100
complaints	100
even	100
name's	100
injured	100
mutual	100
uh	99
leg	99
dangerous	99
donald	99
unsure	99
several	99
mister	99
10-6	98
chrysler	98
jr	98
radar	98
notified	98
its	98
pennsylvania	98
daniel	98
credit	97
january	97
sound	97
local	97
dealer	97
orange	97
causing	97
82	96
snow	96
later	96
detained	96
church	96
anywhere	95
board	95
1346	95
employees	95
apparently	95
figure	95
pc	95
showed	95
67	95
armed	94
co	94
o'clock	94
signal	94
x	94
porch	94
kid	94
burger	93
yard	93
76	93
9-1-1	93
pepper	93
four	93
elber	93
sister	93
r	93
staff	92
johnson	92
enter	92
chase	92
gold	92
town	92
criminal	92
you've	91
premise	91
paraphernalia	91
pass	91
holder	91
fireworks	91
echo	91
holding	90
1381	90
66	90
riding	90
hung	90
ccw	90
lutheran	90
located	90
63	90
highway	90
least	90
plus	90
2027	90
58	89
evaluated	89
parents	89
79	89
assisted	89
windows	89
children	89
bathroom	89
'2	89
incident	88
notice	88
along	88
fighting	88
severe	88
2006	88
living	88
temporary	88
protection	88
matthews	88
eagle	88
tire	88
sergeant	88
richard	87
read	87
weeks	87
cranford	87
davis	87
low	87
wash	87
partially	87
305	87
85	87
12900	87
initial	87
french	87
upset	87
99	87
2008	87
month	86
rosewood	86
meter	86
harm	86
granger	86
better	86
pay	86
own	86
78	86
heavy	86
staying	85
lockout	85
march	85
game	85
wife	85
feet	85
custody	84
visit	84
gets	84
colored	84
93	84
enough	84
eta	84
mercedes	84
coat	84
ongoing	83
apply	83
accessible	83
m	83
details	83
connect	83
guard	83
investigate	83
channel	82
hurt	82
launch	82
picture	82
here's	82
sec	82
eye	82
complete	82
sort	82
tight	82
you'll	82
fair	81
87	81
gentleman	81
georgia	81
cameras	81
103	81
brother	81
ahold	81
gladys	81
2022	81
husband	81
westcom	81
happy	80
story	80
tomorrow	80
safe	80
everybody	80
used	80
hallway	80
bmw	80
advice	80
mind	80
bay	80
chief	79
transferring	79
13315	79
normal	79
voicemail	79
301	79
owner's	79
laying	79
matching	79
friends	79
western	79
many	78
whole	78
minor	78
texas	78
watch	78
jersey	78
text	78
must	78
arrested	78
months	78
shoes	78
quail	77
1277	77
120	77
crossing	77
theft	77
watching	77
2002	77
panic	77
knocked	77
robinwood	77
2021	77
f	77
14701	77
upon	76
314	76
shift	76
e	76
bad	76
329	76
rta	76
voice	76
reporting	76
gained	76
attack	76
suicidal	76
brake	76
anymore	76
lfd	76
save	76
isn't	75
manpower	75
12511	75
v	75
flagged	75
81	75
illinois	75
named	75
club	75
community	75
w	74
ever	74
amount	74
model	74
occupied	74
29th	74
adult	74
removed	74
completely	74
shop	74
involvement	74
116	74
2007	74
staging	74
everything's	74
68	74
winton	74
fry	74
joseph	74
agree	74
envoy	74
god	73
dad	73
rock	73
pains	73
ticket	73
excuse	73
miss	73
taylor	73
occupants	73
stroke	73
i-90	72
ones	72
email	72
streets	72
management	72
2nd	72
clinic	72
g	72
girlfriend	72
enforcement	72
giant	72
previous	71
data	71
smell	71
roll	71
branch	71
grey	71
big	71
site	71
drove	71
dogs	71
caught	71
worried	71
indiana	71
california	71
seat	71
pink	71
works	70
regarding	70
jones	70
love	70
drone	70
telling	70
button	70
stole	70
cartoon	70
sounded	70
wind	70
returned	70
hundred	70
2004	70
abuse	70
taco	70
homeowner	70
speeds	70
junior	69
rate	69
clothing	69
exterior	69
h	69
onto	69
agent	69
class	69
wisconsin	69
verify	69
trespassed	69
knows	68
sides	68
83	68
most	68
struck	68
14401	68
camry	68
father	68
119	68
101	68
issued	68
village	68
yellow	68
brian	68
19th	68
cart	68
early	68
extension	67
setting	67
parkwood	67
matter	67
lock	67
reach	67
300	67
1600	67
2009	67
morrison	67
shore	67
matthew	67
303	67
92	67
understand	66
someone's	66
captain	66
2005	66
2000	66
every	66
affirm	66
crew	66
piece	66
500	66
proper	66
june	66
houses	66
prisoner	66
above	65
wood	65
peter	65
catch	65
barking	65
j	65
client	65
euclid	65
edge	65
step	65
clover	65
cliff	65
p	65
11850	65
arlington	65
paperwork	64
base	64
suspicious	64
highly	64
recently	64
whenever	64
llc	64
owners	64
cap	64
delivery	64
pressure	64
customers	64
111	64
lark	64
arm	64
beginning	64
december	64
119th	64
offense	64
scott	64
federal	64
definitely	64
offer	64
seventeenth	64
'1	64
shot	63
insurance	63
temp	63
confused	63
fast	63
20-8	63
mobile	63
94	63
evening	63
wall	63
shoulder	63
fence	63
attempted	62
clean	62
seizure	62
sounding	62
blocked	62
firearm	62
transferred	62
mac	62
11701	62
trucks	62
physical	62
88	62
strong	62
halsted	62
secured	62
merl	62
civic	61
backpack	61
responded	61
none	61
1450	61
knock	61
caller's	61
albert	61
damaged	61
five	61
kill	61
auto	61
carolina	61
shelter	61
confiscate	61
13330	61
511	61
entered	61
quite	60
97	60
cable	60
106	60
unless	60
course	60
escape	60
together	60
hitting	60
level	60
signature	60
registration	60
cohassett	60
carrying	59
searching	59
1st	59
ram	59
9-3	59
fusion	59
moderate	59
patrol	59
meeting	59
trade	59
plea	59
members	59
world	59
busy	59
names	59
glass	59
2117	59
116th	58
fight	58
individual	58
sean	58
copied	58
nurse	58
banging	58
tan	58
raise	58
flock	58
86	58
124	58
dispatching	58
delay	58
gain	58
terminated	58
feels	58
wells	58
harassing	58
callback	58
'26	58
approaching	57
brooklyn	57
oscar	57
best	57
lee	57
regards	57
suite	57
injury	57
remember	57
kevin	57
civil	57
american	57
november	57
corolla	57
motorcycle	57
'29	57
dead	56
10-16s	56
current	56
breath	56
320	56
hearing	56
11849	56
ramona	56
10-16c	56
102	56
christopher	56
703	56
84	56
ryan	56
birthday	56
listings	56
drink	55
143	55
breaking	55
audi	55
crime	55
cash	55
hands	55
landlord	55
kenilworth	55
2003	55
request	55
114	55
victim	55
150	55
courtesy	55
321	55
yourself	55
u	55
uber	55
treatment	55
brought	55
hispanic	55
giel	55
98	55
updated	55
homeless	55
highland	55
10-19	55
gotta	54
acting	54
5th	54
entering	54
lorraine	54
plate's	54
larchmont	54
assuming	54
medicare	54
meridian	54
star	54
140	54
neighborhood	54
89	54
permanent	54
exactly	54
allowed	54
maroon	54
container	54
rapid	54
mile	54
screen	54
319	54
playground	54
obstructing	54
cutting	54
domestic	53
stating	53
resisting	53
questions	53
job	53
272	53
check's	53
february	53
threatened	53
307	53
climb	53
96	53
2001	53
